Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
/limelight/iowa-state-free-movies-campus-activity-carver-cyclone-cinema-sub-student-union-board-booksmart-rocketman-john-wick-yesterday-the-art-of-self-defense-crawl-toy-story-hobbs-shaw-brightburn/article_c7474270-c43e-11e9-b013-ffa88e468f04.html,"2,358","2,221",0:03:23,"2,095",81.59%,90.20%
/sports/football/iowa-state-cyclones-hakeem-butler-arizona-cardinals-avulsion-fracture-hand/article_a3c139d8-c389-11e9-8b8e-ebbbbd8a8e90.html,"1,310","1,260",0:01:38,"1,080",81.76%,84.58%
/news/collin-daniel-richards-sentenced-to-life-without-parole-celia-barqun-arozamena/article_b14b6ee0-c5b7-11e9-88e6-4b866fd713ae.html,"1,228","1,166",0:03:02,"1,068",79.46%,88.68%
/news/damages-of-and-more-result-in-greek-chapters-sanctioned/article_928545f0-c580-11e7-b25a-5756c09a6d30.html,"1,065","1,001",0:04:18,998,81.26%,90.80%
/sports/gridiron/cyclones-set-at-backup-quarterback-depth-in-defensive-backfield-football-mitchell-purdy-campbell-gordon-heacock-caponi-young-johnson-king-morton-miller-wirtel-rivera/article_d49d7cfe-be40-11e9-a6d9-7bef20f9a140.html,"1,043",999,0:05:39,921,88.48%,90.80%
/sports/football/iowa-state-ranked-no-25--in-ap-preseason-poll/article_a3e81924-c29c-11e9-82e1-4bc3b335fdb8.html,942,894,0:02:53,815,79.88%,85.14%
/news/politics_and_administration/campus/ames-isu-police-added-more-officers-on-day-shift-for/article_b9178f6a-86b1-11e7-9abf-ffb07ea2d72b.html,881,836,0:05:23,815,80.98%,87.63%
/sports/volleyball/iowa-state-volleyball-to-debut-young-lineup-in-2019-with-strong-depth/article_f093514c-c460-11e9-8f14-f72f9d675ed8.html,789,469,0:01:08,381,68.77%,50.70%
/news/students-receive-alcohol-related-citations-five-arrested-during-day/article_e6af16da-a6f1-11e8-a5cc-cf7b34a7cdd0.html,604,570,0:06:40,517,85.30%,90.89%
/sports/football/2019-isu-position-breakdown-qarterback-isu-positions-series/article_8dd6db48-92d1-11e9-805b-574c7cd8b118.html,543,514,0:04:56,502,83.47%,91.16%
/sports/gridiron/running-back-position-up-for-grabs-cyclones-football-campbell-brock-hall-croney-lang-kene-nwangwu-football-big-12-manning-purdy/article_a861b648-c29e-11e9-9fcb-7b5c7509b1e5.html,520,502,0:04:26,370,81.67%,80.38%
/news/student_life/iowa-state-greek-sorority-recruitment-rush-week-2019/article_e4b37f62-be04-11e9-a0b8-835ea072d86d.html,499,427,0:02:42,364,74.18%,75.75%
/special_sections/welcome-back-mag-first-half-schedule-breakdown/article_a7ca1068-a0b1-11e9-b78a-a3548590281b.html,477,443,0:04:40,403,75.43%,77.36%
/news/student_life/iowa-leasing-gap-for-students-landlord-sate-issues/article_637972ba-bfaa-11e9-8ace-1fd92276796f.html,462,438,0:02:34,208,66.35%,56.28%
/sports/wrestling/iowa-state-cyclones-wrestling-austin-gomez-willie-miklus-missouri-tigers-northern-iowa-panthers-iowa-hawkeyes-oklahoma-sooners-fresno-state-bulldogs-oklahoma-state-cowboys/article_64e1d198-c29c-11e9-89fa-3f4489bc0eff.html,342,303,0:02:05,255,78.43%,79.82%
/special_sections/stephens-auditorium-fall-lineup/article_bd68fdb4-9f51-11e9-9efd-635eae27d405.html,292,261,0:01:45,207,69.57%,72.26%
/news/planned-parenthood-withdraws-from-title-x/article_c038bd54-c468-11e9-8a5e-0f8952474612.html,277,265,0:03:14,211,62.09%,66.06%
/multimedia/photos-sorority-bid-day/collection_d1a1c0a0-a18b-11e8-a4d2-277805016784.html,273,20,0:00:05,15,26.67%,7.33%
/dct/motorcycle-riding-tips-for-chicks/article_a4fef64a-25e6-11e5-bde5-0bf472165530.html,264,245,0:06:40,244,82.38%,92.42%
/special_sections/registering-to-vote-in-ames/article_2ac9e3c8-b546-11e9-b322-736bab311e2d.html,248,204,0:01:56,195,70.77%,74.19%
/news/cyride-to-upgrade-tracking-software-iowa-state-university/article_e47b636a-bf9a-11e9-886d-cf5c2846103b.html,241,226,0:01:28,72,70.83%,58.09%
/sports/volleyball/iowa-state-beats-creighton-after-strong-start-volleyball/article_654f826a-c616-11e9-8254-93b2ed1b2d96.html,222,196,0:02:09,178,75.28%,76.58%
/news/politics_and_administration/campus/collin-daniel-richards-celia-barquin-arozamena/article_712b1090-bb72-11e8-acb2-b37389daad55.html,219,213,0:01:52,209,75.12%,85.39%
/sports/gridiron/iowa-state-has-some-questions-left-to-answer-as-fall-camp-wraps-up/article_b902f828-c5c2-11e9-9970-8b747904390a.html,219,163,0:02:27,123,69.92%,60.27%
/multimedia/photos/running-trails-in-ames/collection_e99ca524-1a90-11e5-87b6-9bed4a96dd27.html,195,27,0:00:15,26,23.08%,11.28%
/multimedia/photos-victory-day/collection_1712b902-a806-11e8-87d5-53b16cf17d7a.html,189,19,0:00:04,17,29.41%,8.47%
/news/isucard-update/article_3453458e-be19-11e9-bcf7-57bf0ff19ad2.html,183,180,0:03:04,141,86.52%,81.97%
/multimedia/photos-football-opener-weather-delay/collection_87c450ec-ae56-11e8-b8af-e3f3da818367.html,178,17,0:00:05,0,0.00%,4.49%
/sports/football/purdy-and-bailey-both-make-preseason-watch-lists/article_399f6d5a-c450-11e9-9314-a3f6ddd403a2.html,177,168,0:02:35,108,68.52%,67.80%
/limelight/iowa-state-free-movies-campus-activity-carver-cyclone-cinema-sub-student-union-board-booksmart-rocketman-john-wick-yesterday-the-art-of-self-defense-crawl-toy-story-hobbs-shaw-brightburn/article_c7474270-c43e-11e9-b013-ffa88e468f04.html?fbclid=IwAR1gnZpExvEVex1ZVb0HeWn9Sc5mhnk6Fh93IBRIOZcWdJfOak_LJpIOCG0,168,144,0:02:05,143,76.22%,85.12%
/opinion/column-america-isn-t-a-melting-pot-or-a-salad/article_29614c64-3ffe-56aa-9262-3e9438ac9ca2.html,148,134,0:07:13,132,85.61%,88.51%
/study-shows-people-can-feel-faint-pass-out-after-just/article_25ae01fc-a33d-5c29-afaa-7a40a36e8380.html,146,138,0:04:29,137,83.21%,93.15%
/sports/2019-isu-position-breakdown-o-line/article_39e7e0f4-bee1-11e9-9f6b-23d559942fb5.html,139,103,0:01:30,58,72.88%,59.71%
/multimedia/photos-tailgating-iowa-state-vs-iowa/collection_ba955916-959e-11e7-9a52-bb21cd4714c4.html,136,4,0:00:03,3,0.00%,2.21%
/sports/softball/iowa-state-softball-releases-2019-fall-exhibition-schedule/article_64955af4-c47a-11e9-a986-cb66b2c954af.html,126,113,0:00:48,99,81.82%,76.98%
/news/steve-king-challenger-qualifies-for-ballot/article_0e01d850-be05-11e9-900d-2bb60f2c3a39.html,120,108,0:02:10,90,78.89%,81.67%
/flavors/quick-bite-how-many-calories-do-you-burn-during-a/article_cb689f72-ac33-11e2-829a-0019bb2963f4.html,118,105,0:03:08,103,75.73%,87.29%
/news/politics_and_administration/story-county-supervisor-selected-as-president-of-isu-research-park/article_86ccaa1e-7056-11e9-89ce-f3721ebdd272.html,118,1,0:00:03,0,0.00%,0.85%
/sports/wrestling/david-carr-iowa-state-junior-world-championship/article_ed36f492-bf81-11e9-a061-dfaf01dbd6c5.html,117,112,0:01:13,71,78.87%,72.65%
/news/jay-inslee-drops-out-of-presidential-race/article_c74c44e8-c47d-11e9-8a37-e7ea76b1b40b.html,116,106,0:01:50,66,71.21%,59.48%
/summer-recap-campus-edition/audio_59655290-beb4-11e9-a64d-2358a2c41b5b.html,115,107,0:03:07,77,67.53%,72.17%
/news/expired-gas-posed-no-higher-risk/article_f28af87c-ebd2-511b-9393-50dabe12968e.html,108,103,0:03:58,98,81.63%,90.74%
/style/dress-the-part-for-recruitment-fraternity-members-suggest-autumn-style/article_4249b3de-2f13-11e4-8812-001a4bcf887a.html,108,102,0:09:21,102,88.24%,94.44%
/sports/soccer/soccer-rides-unity-and-defense-ucla-cyclones-uc-irvine-minatta-tavin-hays-mira-emma/article_9de5d6f0-c3b0-11e9-aff7-8354a618b200.html,106,62,0:00:46,55,70.91%,50.94%
/opinion/editorials/editorial-why-poverty-is-everyone-s-problem/article_c5ef08ea-c47d-11e6-bf24-bfa9cd4740e9.html,100,90,0:10:57,86,73.26%,85.00%
/opinion/editorials/editorial-the-fourth-district-deserves-better-than-steve-king/article_5a923d4a-c012-11e9-9b91-fb2a32ee8012.html,98,89,0:02:04,29,75.00%,39.80%
/sports/tailgating/article_9e4d7f12-80d8-11e6-8f6e-4716fb25d366.html,97,69,0:01:53,66,69.70%,65.98%
/news/steve-king-talks-abortion-rape-incest/article_8c2d8bfe-beda-11e9-8f63-cf4f7574569a.html,91,89,0:03:02,39,79.49%,67.03%
/flavors/beer-while-studying/article_cfd8daba-61f3-11e3-9361-0019bb2963f4.html,88,83,0:06:05,83,77.11%,94.32%
/special_sections/try-these-five-activities-when-you-are-bored-in-your/article_d511c8e2-b99a-11e0-b989-001cc4c002e0.html,88,84,0:01:45,84,84.52%,95.45%
